grafo_id,num_edges,ground_energy,ground_degeneracy,spectral_gap,iteraciones,energia_final,diferencia_ground,approx_ratio,gradiente_final,pool_size,runtime_min,initial_energy,converged
1,6,-12.0,12,0.0,12,-11.999999999922531,7.746869812308432e-11,0.9999999999935443,1.717060349105994e-05,568,0.8612485647201538,-10.000000000000002,1
2,6,-12.0,12,0.0,50,-11.999148772181213,0.0008512278187868816,0.9999290643484344,0.012229714449435795,610,34.89725705385208,-10.000000000000002,0
3,7,-14.0,6,0.0,32,-13.999888365082247,0.00011163491775256773,0.9999920260773034,0.00446159392688321,740,12.173528516292572,-10.000000000000002,1
4,8,-14.0,42,0.0,50,-13.998387238074624,0.0016127619253758496,0.999884802719616,0.022517146880123316,946,25.527454141775767,-10.000000000000002,0
5,5,-10.0,24,0.0,25,-9.999999998505432,1.4945680248956705e-09,0.9999999998505432,4.960689947138758e-05,438,3.1782343705495197,-10.000000000000002,1
6,7,-12.0,72,0.0,27,-11.999999999669472,3.30528493464044e-10,0.9999999999724559,3.209086768474856e-05,774,3.774174610773722,-10.000000000000002,1
7,8,-14.0,42,0.0,50,-13.998993688595586,0.0010063114044136512,0.9999281206139704,0.03771288812696385,946,25.188353657722473,-10.000000000000002,0
8,7,-14.0,6,0.0,35,-13.999949676208926,5.032379107383633e-05,0.9999964054434948,0.004568092899943575,740,9.558395683765411,-10.000000000000002,1
9,7,-12.0,72,0.0,26,-11.99999985626621,1.437337893150925e-07,0.9999999880221843,0.0007483566082142995,774,9.414219919840495,-10.000000000000002,1
10,6,-12.0,18,0.0,32,-11.99997841048637,2.1589513629294288e-05,0.9999982008738643,0.007840208138409905,534,4.103553215662639,-10.000000000000002,1
11,9,-16.0,18,0.0,19,-15.999979100132716,2.0899867283930007e-05,0.9999986937582948,0.004851667564691624,1152,1.3324920813242593,-10.000000000000002,1
12,5,-10.0,18,0.0,11,-9.999999999997797,2.2026824808563106e-12,0.9999999999997797,3.6151922550994955e-06,464,0.6390611092249553,-10.000000000000002,1
13,7,-14.0,12,0.0,50,-13.949081595100376,0.05091840489962429,0.9963629710785983,0.015479621255787182,698,24.24380051692327,-10.000000000000002,0
14,7,-12.0,72,0.0,19,-11.999999999147583,8.524168038093194e-10,0.9999999999289653,6.47341041246983e-05,774,1.3355452100435892,-10.000000000000002,1
15,7,-12.0,72,0.0,36,-11.999994861922909,5.138077090904858e-06,0.9999995718269091,0.0045140284026537695,774,5.376523542404175,-10.000000000000002,1
16,6,-12.0,18,0.0,50,-11.997803817042216,0.0021961829577836767,0.999816984753518,0.026902460030992677,534,28.91463913520177,-10.000000000000002,0
17,6,-12.0,12,0.0,26,-11.999485334178837,0.0005146658211625521,0.9999571111815698,0.00847366335001702,568,10.764754891395569,-10.000000000000002,1
18,7,-12.0,72,0.0,14,-11.999999999993305,6.695088927699544e-12,0.9999999999994421,1.568205130770159e-05,774,1.1850418210029603,-10.000000000000002,1
19,6,-12.0,12,0.0,50,-11.998751049018447,0.0012489509815534205,0.9998959207515372,0.013005111829391668,610,25.315113445123036,-10.000000000000002,0
20,5,-10.0,36,0.0,44,-9.999245607145834,0.0007543928541657863,0.9999245607145835,0.009436974866757146,404,16.879721359411874,-10.000000000000002,1
21,7,-14.0,12,0.0,40,-13.999829442388572,0.00017055761142792392,0.9999878173134694,0.009249693960763597,698,10.17445302804311,-10.000000000000002,1
22,7,-14.0,6,0.0,50,-13.919608915530779,0.0803910844692215,0.9942577796807699,0.08003915007643674,740,33.0514918923378,-10.000000000000002,0
23,8,-16.0,6,0.0,26,-15.999971007967156,2.8992032843788706e-05,0.9999981879979473,0.00403437612594852,904,3.208078181743622,-10.000000000000002,1
24,5,-10.0,24,0.0,50,-9.997922981083004,0.002077018916995854,0.9997922981083004,0.02795137960079732,480,38.041029898325604,-10.000000000000002,0
25,6,-12.0,12,0.0,50,-11.997785230580618,0.0022147694193819234,0.9998154358817182,0.009537368743175966,568,21.18331853548686,-10.000000000000002,1
26,5,-10.0,24,0.0,34,-9.999999794182308,2.0581769177852038e-07,0.9999999794182308,0.000551866088012136,404,10.827809349695842,-10.000000000000002,1
27,6,-12.0,12,0.0,50,-11.997760392764864,0.002239607235136276,0.9998133660637386,0.03635019656086568,610,22.702708264191944,-10.000000000000002,0
28,5,-10.0,24,0.0,25,-9.999999999516001,4.83998618960868e-10,0.9999999999516002,4.7124801361525265e-05,438,2.9707865595817564,-10.000000000000002,1
29,6,-12.0,12,0.0,50,-11.99987803195175,0.00012196804824959884,0.9999898359959792,0.0138873759327909,610,24.919554062684377,-10.000000000000002,0
30,9,-16.0,18,0.0,29,-15.999401840091776,0.00059815990822365,0.999962615005736,0.009359075365034225,1152,3.4908339381217957,-10.000000000000002,1
31,6,-12.0,12,0.0,40,-11.999985808700348,1.4191299651855616e-05,0.9999988173916957,0.003409197764666129,568,14.889929648240408,-10.000000000000002,1
32,8,-14.0,42,0.0,15,-13.999999999993122,6.87805368215777e-12,0.9999999999995087,1.3411043932582357e-05,946,3.5904199401537578,-10.000000000000002,1
33,6,-12.0,18,0.0,41,-11.999766894168495,0.00023310583150504272,0.9999805745140412,0.009124109639424272,534,11.923551619052887,-10.000000000000002,1
34,7,-14.0,12,0.0,20,-13.851751522734116,0.1482484772658843,0.9894108230524369,0.00665063383465847,698,1.9971054514249167,-10.000000000000002,1
35,6,-12.0,12,0.0,50,-11.997785228832393,0.0022147711676065995,0.9998154357360328,0.009531045336061677,568,31.126701434453327,-10.000000000000002,1
36,5,-10.0,24,0.0,25,-9.999999998792141,1.207858701945952e-09,0.9999999998792142,8.0336904260132e-05,438,3.226687180995941,-10.000000000000002,1
37,8,-14.0,42,0.0,15,-13.99999999999474,5.259792601464142e-12,0.9999999999996243,1.1645058874267411e-05,946,1.5239551027615865,-10.000000000000002,1
38,6,-12.0,12,0.0,10,-11.999999999987145,1.2855494446739613e-11,0.9999999999989287,1.2090625413476896e-05,576,0.5264310002326965,-10.000000000000002,1
39,5,-10.0,24,0.0,18,-9.999999999869472,1.305284769159698e-10,0.9999999999869471,2.988098913529541e-05,480,1.33347749710083,-10.000000000000002,1
40,7,-14.0,12,0.0,50,-13.911187959192052,0.08881204080794802,0.9936562827994323,0.4025968710576712,698,16.488884190718334,-10.000000000000002,0
41,8,-14.0,42,0.0,50,-13.998652115088063,0.0013478849119366032,0.9999037225062902,0.028615907890380803,946,3.2180413444836935,-10.000000000000002,0
42,7,-14.0,6,0.0,50,-13.99156692586035,0.008433074139649221,0.9993976375614536,0.11054779419269946,740,4.231595559914907,-10.000000000000002,0
43,6,-12.0,18,0.0,50,-11.996709712246577,0.0032902877534226604,0.9997258093538814,0.0585929821715125,534,3.1255713144938153,-10.000000000000002,0
44,7,-14.0,12,0.0,39,-13.999991867612524,8.132387476322833e-06,0.9999994191151803,0.0016044476158153275,698,14.462210194269817,-10.000000000000002,1
45,9,-16.0,18,0.0,37,-15.99978460875031,0.0002153912496893895,0.9999865380468944,0.006034720031884249,1152,7.154441742102305,-10.000000000000002,1
46,7,-14.0,6,0.0,50,-13.908327958314729,0.09167204168527121,0.9934519970224807,0.10644080795442977,740,19.900912137826285,-10.000000000000002,0
47,6,-12.0,18,0.0,50,-11.951216711143612,0.04878328885638794,0.9959347259286343,0.15000424737903473,534,18.585386935869852,-10.000000000000002,0
